Station Name,Station Id,State Code,State Name,Network Code,Network Name,Elevation,Latitude,Longitude,County Name,County Code,HUC2 (2-digit),HUC2 Name,HUC4 (4-digit),HUC4 Name,HUC6 (6-digit),HUC6 Name,HUC8 (8-digit),HUC8 Name,HUC10 (10-digit),HUC10 Name,HUC12 (12-digit),HUC12 Name,Report Time Zone (Offset from GMT),DCO,Acton Id,SHEF Id,Start Date,End Date
Apishapa,303,CO,COLORADO,SNTL,SNOTEL,10027,37.33067,-105.06766,Huerfano,055,11,Arkansas-White-Red Region,1102,Upper Arkansas,110200,Upper Arkansas,11020006,Huerfano,1102000604,Upper Cucharas River,110200060406,Middle Creek-Cucharas River,-8.0,CO,05M07S,APSC2,1979-10-01,2100-01-01
Arapaho Ridge,1030,CO,COLORADO,SNTL,SNOTEL,10976,40.35098,-106.38141,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000106,Troublesome Creek-Colorado River,140100010604,Rabbit Ears Creek-Troublesome Creek,-8.0,CO,06J08S,ARPC2,2002-08-01,2100-01-01
Bear Lake,322,CO,COLORADO,SNTL,SNOTEL,9522,40.31176,-105.64670,Larimer,069,10,Missouri Region,1019,South Platte,101900,South Platte,10190006,Big Thompson,1019000602,Headwaters Big Thompson River,101900060201,Glacier Creek,-8.0,CO,05J39S,BLKC2,1979-10-01,2100-01-01
Bear River,1061,CO,COLORADO,SNTL,SNOTEL,9112,40.06152,-107.00948,Routt,107,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000101,Headwaters Yampa River,140500010102,Yamcolo Reservoir-Bear River,-8.0,CO,07J03S,BRRC2,2004-10-01,2100-01-01
Beartown,327,CO,COLORADO,SNTL,SNOTEL,11600,37.71433,-107.51240,San Juan,111,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010001,Rio Grande Headwaters,1301000101,Headwaters Rio Grande,130100010104,Bear Creek-Rio Grande,-8.0,CO,07M32S,BRTC2,1979-10-01,2100-01-01
Beaver Ck Village,1041,CO,COLORADO,SNTL,SNOTEL,8565,39.59871,-106.51113,Eagle,037,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010003,Eagle,1401000303,Middle Eagle River,140100030301,Beaver Creek-Eagle Creek,-8.0,CO,06K45S,BCVC2,2002-11-01,2100-01-01
Berthoud Summit,335,CO,COLORADO,SNTL,SNOTEL,11314,39.80364,-105.77786,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000102,Fraser River,140100010202,Upper Fraser River,-8.0,CO,05K14S,BTSC2,1963-09-01,2100-01-01
Bison Lake,345,CO,COLORADO,SNTL,SNOTEL,10964,39.76458,-107.35628,Garfield,045,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000114,Deep Creek,140100011401,Headwaters Deep Creek,-8.0,CO,07K12S,BLSC2,1985-09-30,2100-01-01
Black Mesa,1185,CO,COLORADO,SNTL,SNOTEL,11564,37.78968,-108.18376,Dolores,033,14,Upper Colorado Region,1403,Upper Colorado-Dolores,140300,Upper Colorado-Dolores,14030002,Upper Dolores,1403000201,West Dolores River,140300020103,Fish Creek,-8.0,CO,08M12S,BMSC2,2011-07-28,2100-01-01
Black Mountain,1161,CO,COLORADO,SNTL,SNOTEL,8980,40.88790,-105.66404,Larimer,069,10,Missouri Region,1019,South Platte,101900,South Platte,10190007,Cache La Poudre,1019000705,Dale Creek,101900070501,Upper Dale Creek,-8.0,CO,05J28S,BMNC2,2010-10-01,2100-01-01
Brumley,369,CO,COLORADO,SNTL,SNOTEL,10594,39.08758,-106.54231,Lake,065,11,Arkansas-White-Red Region,1102,Upper Arkansas,110200,Upper Arkansas,11020001,Arkansas Headwaters,1102000101,Lake Creek,110200010101,North Fork Lake Creek,-8.0,CO,06K40S,BRMC2,1979-10-01,2100-01-01
Buckskin Joe,938,CO,COLORADO,SNTL,SNOTEL,11166,39.30378,-106.11316,Park,093,10,Missouri Region,1019,South Platte,101900,South Platte,10190001,South Platte Headwaters,1019000101,Middle Fork South Platte River,101900010102,Headwaters Middle Fork South Platte River,-8.0,CO,06K16S,BUCC2,1998-08-10,2100-01-01
Buffalo Park,913,CO,COLORADO,SNTL,SNOTEL,9249,40.22838,-106.59620,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000107,Muddy Creek,140100010706,Red Dirt Creek,-8.0,CO,06J18S,BUFC2,1995-09-01,2100-01-01
Burro Mountain,378,CO,COLORADO,SNTL,SNOTEL,9317,39.87504,-107.59902,Rio Blanco,103,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050005,Upper White,1405000503,Coal Creek-White River,140500050302,North Elk Creek,-8.0,CO,07K02S,BURC2,1978-10-01,2100-01-01
Butte,380,CO,COLORADO,SNTL,SNOTEL,10200,38.89435,-106.95327,Gunnison,051,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020001,East-Taylor,1402000102,East River,140200010206,Washington Gulch-Slate River,-8.0,CO,06L11S,BUTC2,1979-10-01,2100-01-01
Cascade #2,387,CO,COLORADO,SNTL,SNOTEL,9012,37.65751,-107.80287,San Juan,111,14,Upper Colorado Region,1408,San Juan,140801,Upper San Juan,14080104,Animas,1408010402,Cascade Creek,140801040201,Headwaters Cascade Creek,-8.0,CO,07M35S,CADC2,1990-09-30,2100-01-01
Chapman Tunnel,1101,CO,COLORADO,SNTL,SNOTEL,10100,39.26210,-106.62944,Pitkin,097,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010004,Roaring Fork,1401000405,Fryingpan River,140100040504,Deeds Creek-Fryingpan River,-8.0,CO,06K46S,HAPC2,2007-09-01,2100-01-01
Cochetopa Pass,1059,CO,COLORADO,SNTL,SNOTEL,10061,38.16273,-106.59880,Saguache,109,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010004,Saguache,1301000402,Squaw Creek-Saguache Creek,130100040203,Luders Creek,-8.0,CO,06L06S,CZSC2,2004-09-01,2100-01-01
Columbine,408,CO,COLORADO,SNTL,SNOTEL,9167,40.39591,-106.60437,Jackson,057,10,Missouri Region,1018,North Platte,101800,North Platte,10180001,North Platte Headwaters,1018000101,Grizzly Creek,101800010102,Upper Grizzly Creek,-8.0,CO,06J03S,COLC2,1978-10-01,2100-01-01
Columbine Pass,409,CO,COLORADO,SNTL,SNOTEL,9171,38.41819,-108.38313,Montrose,085,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020005,Lower Gunnison,1402000502,Roubideau Creek,140200050202,Potter Creek,-8.0,CO,08L02S,CPSC2,1985-10-01,2100-01-01
Columbus Basin,904,CO,COLORADO,SNTL,SNOTEL,10781,37.44146,-108.02468,La Plata,067,14,Upper Colorado Region,1408,San Juan,140801,Upper San Juan,14080105,Middle San Juan,1408010501,Headwaters La Plata River,140801050101,Headwaters La Plata River,-8.0,CO,08M10S,CMBC2,1994-08-30,2100-01-01
Copeland Lake,412,CO,COLORADO,SNTL,SNOTEL,8555,40.20733,-105.56950,Boulder,013,10,Missouri Region,1019,South Platte,101900,South Platte,10190005,St. Vrain,1019000502,North Saint Vrain Creek,101900050202,Headwaters North Saint Vrain Creek,-8.0,CO,05J18S,COPC2,1979-10-01,2100-01-01
Copper Mountain,415,CO,COLORADO,SNTL,SNOTEL,10523,39.48917,-106.17154,Summit,117,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010002,Blue,1401000203,Tenmile Creek,140100020302,West Tenmile Creek,-8.0,CO,06K24S,CPMC2,1978-10-01,2100-01-01
Cottonwood Pass,1281,CO,COLORADO,SNTLT,SNOLITE,11681,38.83416,-106.42116,Gunnison,051,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020001,East-Taylor,1402000101,Taylor River,140200010106,Outlet Willow Creek,-8.0,CO,,,2021-09-17,2100-01-01
Crosho,426,CO,COLORADO,SNTL,SNOTEL,8973,40.16749,-107.05769,Rio Blanco,103,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000101,Headwaters Yampa River,140500010106,Outlet Hunt Creek,-8.0,CO,07J04S,CRSC2,1985-10-01,2100-01-01
Culebra #2,430,CO,COLORADO,SNTL,SNOTEL,10562,37.20939,-105.19988,Costilla,023,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010002,Alamosa-Trinchera,1301000209,Headwaters Culebra Creek,130100020902,Headwaters Culebra Creek,-8.0,CO,05M03S,CULC2,1978-10-01,2100-01-01
Cumbres Trestle,431,CO,COLORADO,SNTL,SNOTEL,10035,37.01877,-106.45275,Conejos,021,13,Rio Grande Region,1302,Rio Grande-Elephant Butte,130201,Upper Rio Grande,13020102,Rio Chama,1302010202,Chavez Creek-Rio Chama,130201020203,Wolf Creek,-8.0,CO,06M22S,CUMC2,1979-10-01,2100-01-01
Deadman Hill,438,CO,COLORADO,SNTL,SNOTEL,10239,40.80572,-105.77018,Larimer,069,10,Missouri Region,1019,South Platte,101900,South Platte,10190007,Cache La Poudre,1019000705,Dale Creek,101900070502,Lower Dale Creek,-8.0,CO,05J06S,DDMC2,1978-10-01,2100-01-01
Dry Lake,457,CO,COLORADO,SNTL,SNOTEL,8271,40.53370,-106.78140,Routt,107,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000104,Oak Creek-Yampa River,140500010409,City of Steamboat Springs-Yampa River,-8.0,CO,06J01S,DRLC2,1979-10-01,2100-01-01
Echo Lake,936,CO,COLORADO,SNTL,SNOTEL,10694,39.65539,-105.59358,Clear Creek,019,10,Missouri Region,1019,South Platte,101900,South Platte,10190002,Upper South Platte,1019000208,Bear Creek,101900020801,Vance Creek,-8.0,CO,05K27S,ECLC2,1998-08-10,2100-01-01
El Diente Peak,465,CO,COLORADO,SNTL,SNOTEL,10217,37.78607,-108.02235,Dolores,033,14,Upper Colorado Region,1403,Upper Colorado-Dolores,140300,Upper Colorado-Dolores,14030002,Upper Dolores,1403000202,Headwaters Dolores River,140300020202,Cayton Valley-Dolores River,-8.0,CO,08M06S,EDSC2,1985-10-01,2100-01-01
Elk River,467,CO,COLORADO,SNTL,SNOTEL,8739,40.84758,-106.96861,Routt,107,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000102,Headwaters Elk River,140500010206,Steamboat Lake,-8.0,CO,06J15S,ELKC2,1978-10-01,2100-01-01
Elkhead Divide,1252,CO,COLORADO,SNTL,SNOTEL,8800,40.79637,-107.10113,Routt,107,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000106,Elkhead Creek,140500010601,Headwaters Elkhead Creek,-8.0,CO,07J06S,EKDC2,2016-09-01,2100-01-01
Elliot Ridge,1120,CO,COLORADO,SNTL,SNOTEL,10549,39.86380,-106.42473,Summit,117,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010002,Blue,1401000206,Lower Blue River,140100020602,Deep Creek-Blue River,-8.0,CO,06K29S,ELRC2,2009-08-07,2100-01-01
Fool Creek,1186,CO,COLORADO,SNTL,SNOTEL,11156,39.86866,-105.86765,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000102,Fraser River,140100010203,Saint Louis Creek,-8.0,CO,05K30S,FCVC2,2011-07-28,2100-01-01
Fremont Pass,485,CO,COLORADO,SNTL,SNOTEL,11326,39.38014,-106.19784,Summit,117,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010002,Blue,1401000203,Tenmile Creek,140100020301,Upper Tenmile Creek,-8.0,CO,06K08S,FMTC2,1979-10-01,2100-01-01
Glen Cove,1057,CO,COLORADO,SNTL,SNOTEL,11391,38.87602,-105.07605,Teller,119,11,Arkansas-White-Red Region,1102,Upper Arkansas,110200,Upper Arkansas,11020003,Fountain,1102000302,Upper Fountain Creek,110200030201,Headwaters Fountain Creek,-8.0,CO,05L11S,GLNC2,2004-08-01,2100-01-01
Grayback,1058,CO,COLORADO,SNTL,SNOTEL,11626,37.47051,-106.53790,Rio Grande,105,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010002,Alamosa-Trinchera,1301000201,Pinos Creek,130100020101,East Fork Pinos Creek,-8.0,CO,06M21S,GYBC2,2004-09-01,2100-01-01
Grizzly Peak,505,CO,COLORADO,SNTL,SNOTEL,11139,39.64646,-105.86940,Summit,117,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010002,Blue,1401000202,Snake River,140100020201,North Fork Snake River,-8.0,CO,05K09S,GZPC2,1979-10-01,2100-01-01
Hayden Pass,1102,CO,COLORADO,SNTL,SNOTEL,10699,38.29303,-105.85027,Saguache,109,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010003,San Luis,1301000303,Garner Creek-San Luis Creek,130100030301,Piney Creek-San Luis Creek,-8.0,CO,05L12S,HPAC2,2007-08-28,2100-01-01
High Lonesome,1187,CO,COLORADO,SNTL,SNOTEL,10638,40.03590,-105.75472,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000102,Fraser River,140100010205,Meadows Creek-Ranch Creek,-8.0,CO,05J46S,HLNC2,2011-07-28,2100-01-01
Hoosier Pass,531,CO,COLORADO,SNTL,SNOTEL,11611,39.36092,-106.05999,Summit,117,10,Missouri Region,1019,South Platte,101900,South Platte,10190001,South Platte Headwaters,1019000101,Middle Fork South Platte River,101900010102,Headwaters Middle Fork South Platte River,-8.0,CO,06K01S,HOOC2,1979-10-01,2100-01-01
Hourglass Lake,1122,CO,COLORADO,SNTL,SNOTEL,9417,40.57717,-105.62584,Larimer,069,10,Missouri Region,1019,South Platte,101900,South Platte,10190007,Cache La Poudre,1019000701,South Fork Cache La Poudre River,101900070101,Beaver Creek,-8.0,CO,05J11S,HRLC2,2008-10-01,2100-01-01
Idarado,538,CO,COLORADO,SNTL,SNOTEL,9812,37.93389,-107.67620,Ouray,091,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020006,Uncompahgre,1402000602,Upper Uncompahgre River,140200060201,Red Mountain Creek,-8.0,CO,07M27S,IDRC2,1979-10-01,2100-01-01
Independence Pass,542,CO,COLORADO,SNTL,SNOTEL,10598,39.07543,-106.61154,Pitkin,097,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010004,Roaring Fork,1401000401,Upper Roaring Fork River,140100040101,Lincoln Creek,-8.0,CO,06K04S,IDPC2,1979-10-01,2100-01-01
Ivanhoe,547,CO,COLORADO,SNTL,SNOTEL,10541,39.29228,-106.54907,Pitkin,097,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010004,Roaring Fork,1401000405,Fryingpan River,140100040501,Headwaters Fryingpan River,-8.0,CO,06K10S,IVHC2,1991-10-01,2100-01-01
Jackwhacker Gulch,935,CO,COLORADO,SNTL,SNOTEL,11054,39.57096,-105.80355,Clear Creek,019,10,Missouri Region,1019,South Platte,101900,South Platte,10190002,Upper South Platte,1019000202,Headwaters North Fork South Platte River,101900020201,Geneva Creek,-8.0,CO,05K26S,JWGC2,1998-08-01,2100-01-01
Joe Wright,551,CO,COLORADO,SNTL,SNOTEL,10158,40.53285,-105.88747,Larimer,069,10,Missouri Region,1019,South Platte,101900,South Platte,10190007,Cache La Poudre,1019000702,Headwaters Cache La Poudre River,101900070204,Joe Wright Creek,-8.0,CO,05J37S,JWRC2,1978-10-01,2100-01-01
Jones Pass,970,CO,COLORADO,SNTL,SNOTEL,10426,39.76450,-105.90655,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000104,Williams Fork,140100010402,Headwaters Williams Fork,-8.0,CO,05K21S,JNPC2,1999-09-30,2100-01-01
Kiln,556,CO,COLORADO,SNTL,SNOTEL,9624,39.31720,-106.61501,Pitkin,097,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010004,Roaring Fork,1401000405,Fryingpan River,140100040504,Deeds Creek-Fryingpan River,-8.0,CO,06K30S,KLNC2,1979-10-01,2100-01-01
Lake Eldora,564,CO,COLORADO,SNTL,SNOTEL,9728,39.93659,-105.59031,Boulder,013,10,Missouri Region,1019,South Platte,101900,South Platte,10190005,St. Vrain,1019000504,Headwaters Boulder Creek,101900050402,Middle Boulder Creek,-8.0,CO,05J41S,LELC2,1978-10-01,2100-01-01
Lake Irene,565,CO,COLORADO,SNTL,SNOTEL,10682,40.41446,-105.81941,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000103,Headwaters Colorado River,140100010302,Headwaters Colorado River,-8.0,CO,05J10S,LKIC2,1978-10-01,2100-01-01
Lily Pond,580,CO,COLORADO,SNTL,SNOTEL,11069,37.38028,-106.54823,Conejos,021,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010002,Alamosa-Trinchera,1301000203,Alamosa River,130100020302,Headwaters Alamosa River,-8.0,CO,06M23S,LPDC2,1979-10-01,2100-01-01
Lizard Head Pass,586,CO,COLORADO,SNTL,SNOTEL,10193,37.79895,-107.92475,Dolores,033,14,Upper Colorado Region,1403,Upper Colorado-Dolores,140300,Upper Colorado-Dolores,14030002,Upper Dolores,1403000202,Headwaters Dolores River,140300020201,Headwaters Dolores River,-8.0,CO,07M29S,LIZC2,1979-10-01,2100-01-01
Lone Cone,589,CO,COLORADO,SNTL,SNOTEL,9755,37.89169,-108.19636,San Miguel,113,14,Upper Colorado Region,1403,Upper Colorado-Dolores,140300,Upper Colorado-Dolores,14030003,San Miguel,1403000303,Beaver-Mckenzie Creeks-San Miguel River,140300030302,Headwaters Beaver Creek,-8.0,CO,08M07S,LNCC2,1979-10-01,2100-01-01
Long Draw Resv,1123,CO,COLORADO,SNTL,SNOTEL,10008,40.51154,-105.76540,Larimer,069,10,Missouri Region,1019,South Platte,101900,South Platte,10190007,Cache La Poudre,1019000702,Headwaters Cache La Poudre River,101900070203,La Poudre Pass Creek,-8.0,CO,05J27S,LRVC2,2008-10-16,2100-01-01
